free sulfur dioxide,total sulfur dioxide,density,alcohol,quality
14.0,38.0,0.99675,9.0,6
14.0,38.0,0.99675,9.0,6
15.0,39.0,0.99675,9.2,6
14.0,38.0,0.99675,9.0,6
7.0,37.0,0.99685,9.0,6
5.0,62.0,0.9971,9.3,5
6.0,24.0,0.99925,10.9,6
28.0,109.0,0.99565,9.8,6
10.0,24.0,1.00005,9.2,7
10.0,24.0,1.00005,9.2,7
6.0,23.0,0.9983,9.9,6
16.0,51.0,0.99685,9.5,5
11.0,73.0,0.9963,9.3,5
9.0,39.0,0.99615,9.8,6
6.0,23.0,0.9983,9.9,6
16.0,37.0,0.9985,10.0,6
16.0,34.0,0.9972,9.9,6
5.0,21.0,0.9986,10.5,5
8.0,86.0,0.9959,9.5,5
16.0,34.0,0.9972,9.9,6
17.0,119.0,0.99675,9.3,5
5.0,13.0,0.998,9.2,5
12.0,56.0,0.9968,9.2,5
8.0,45.0,0.9968,9.4,5
14.0,33.0,0.99965,10.5,7
18.0,45.0,0.99625,9.3,5
12.0,67.0,0.99565,9.4,4
10.0,35.0,0.99575,10.0,5
23.0,49.0,0.9963,9.3,5
5.0,27.0,0.9999,10.9,5
6.0,10.0,0.9968,10.2,7
26.0,61.0,1.00025,9.8,4
15.0,37.0,0.9973,12.8,8
7.0,27.0,0.9987,9.4,6
4.0,23.0,0.9996,10.1,6
27.0,61.0,0.9965,10.7,6
4.0,23.0,0.9996,10.1,6
17.0,65.0,0.99935,10.1,5
10.0,38.0,0.99735,9.4,5
27.0,94.0,0.99915,9.4,5
27.0,61.0,0.9965,10.7,6
7.0,27.0,0.9987,9.4,6
4.0,23.0,0.9996,10.1,6
5.0,13.0,0.9976,12.6,8
10.0,47.0,0.9991,10.5,7
6.0,19.0,0.9986,9.3,6
5.0,10.0,0.9972,9.9,7
12.0,53.0,0.9971,9.1,5
10.0,47.0,0.9991,10.5,7
32.0,71.0,1.00015,9.8,5
32.0,71.0,1.00015,9.8,5
25.0,49.0,0.9997,10.3,6
29.0,53.0,0.9967,10.3,6
20.0,49.0,0.9976,10.6,7
33.0,98.0,1.001,9.2,5
20.0,49.0,0.9976,10.6,7
6.0,18.0,0.9979,10.5,5
18.0,48.0,0.9994,10.3,6
5.0,16.0,0.9964,10.1,6
17.0,53.0,1.0014,9.5,6
5.0,27.0,1.0001,9.5,5
26.0,70.0,0.9981,9.9,5
8.0,29.0,0.99855,9.6,5
5.0,31.0,0.9993,9.7,5
8.0,33.0,0.99845,9.6,5
20.0,44.0,0.9965,10.7,6
7.0,15.0,0.9973,10.1,6
12.0,28.0,0.9994,10.0,5
5.0,21.0,0.996,9.5,5
12.0,90.0,0.9973,9.2,5
6.0,25.0,0.9998,9.3,6
7.0,54.0,0.9966,9.4,5
6.0,14.0,0.9994,9.5,6
5.0,12.0,0.9994,9.5,6
9.0,30.0,0.9968,9.5,6
6.0,25.0,0.9998,9.3,6
15.0,105.0,0.996,9.4,6
19.0,98.0,0.99815,9.5,6
30.0,135.0,0.9976,9.4,5
26.0,72.0,0.99645,11.0,5
20.0,53.0,0.9962,11.0,6
37.0,92.0,0.9996,10.1,5
30.0,74.0,0.99865,10.4,6
21.0,59.0,0.9989,11.5,7
30.0,74.0,0.99865,10.4,6
21.0,59.0,0.9989,11.5,7
25.0,87.0,0.99975,9.7,5
6.0,18.0,0.99735,9.3,5
35.0,73.0,0.999,9.5,6
13.0,50.0,1.0015,9.2,6
13.0,50.0,1.0015,9.2,6
6.0,14.0,0.9978,11.5,7
5.0,13.0,0.998,11.5,5
6.0,21.0,1.0002,9.7,6
7.0,15.0,0.9981,9.5,5
10.0,41.0,0.998,12.5,6
10.0,41.0,0.998,12.5,6
21.0,114.0,0.9973,9.4,6
16.0,44.0,0.9958,11.0,5
17.0,38.0,0.9963,11.7,7
7.0,21.0,0.9992,12.2,7
6.0,16.0,0.9948,12.5,6
29.0,58.0,0.9974,10.3,5
28.0,99.0,1.0008,11.5,6
12.0,29.0,0.9997,9.8,7
10.0,21.0,1.0,9.2,6
5.0,18.0,0.9972,11.3,6
6.0,14.0,0.9982,9.8,6
6.0,14.0,0.9982,9.8,6
6.0,32.0,1.0006,10.7,6
40.0,63.0,0.9979,9.9,5
17.0,34.0,0.9955,12.3,7
6.0,15.0,0.9986,12.0,6
15.0,46.0,0.9979,10.0,6
11.0,28.0,0.9994,9.4,6
17.0,34.0,1.0004,9.9,6
11.0,26.0,0.9994,9.4,6
8.0,19.0,0.9974,9.3,5
23.0,77.0,1.0018,13.0,5
40.5,165.0,0.9912,11.9,6
17.0,32.0,0.9955,12.8,6
29.0,55.0,1.0001,11.0,5
12.0,29.0,0.997,11.7,7
10.0,23.0,1.0,10.4,7
10.0,41.0,1.001,9.8,6
14.0,81.0,0.9973,9.4,5
21.0,50.0,0.9982,9.9,6
6.0,37.0,0.9992,10.0,5
6.0,15.0,0.9988,10.2,5
7.0,42.0,1.0022,10.0,7
7.0,21.0,0.9979,11.8,6
7.0,42.0,1.0022,10.0,7
11.0,24.0,1.0,9.0,5
15.0,75.0,0.9998,9.4,5
6.0,18.0,0.9962,12.0,7
35.0,63.0,0.9975,9.9,5
11.0,25.0,0.9967,8.7,6
26.0,46.0,0.9967,10.6,6
12.0,72.0,0.9959,9.2,5
6.0,47.0,1.0014,10.8,6
6.0,15.0,0.9984,11.8,7
19.0,47.0,1.0003,11.0,6
6.0,18.0,0.9962,12.0,7
6.0,24.0,0.9988,13.3,6
24.0,60.0,0.9979,10.8,6
11.0,27.0,0.9974,9.4,6
17.0,43.0,1.0014,10.0,6
11.0,27.0,0.9974,9.4,6
11.0,27.0,0.9974,9.4,6
23.0,54.0,0.998,9.2,5
11.0,37.0,0.9979,9.7,6
23.0,48.0,0.9981,9.2,6
17.0,42.0,0.9972,9.6,6
23.0,53.0,0.9981,9.2,6
16.0,49.0,0.9982,10.0,7
12.0,88.0,0.9924,12.9,8
17.0,43.0,1.0014,10.0,6
6.0,26.0,0.998,9.5,5
13.0,95.0,0.997,9.1,5
6.0,25.0,0.9997,9.9,5
7.0,38.0,1.0004,13.0,7
68.0,124.0,0.9994,9.9,5
13.0,49.0,0.9988,11.0,6
13.0,49.0,0.9988,11.0,6
9.0,42.0,0.9963,9.4,5
68.0,124.0,0.9994,9.9,5
20.0,38.0,0.9949,10.8,6
19.0,64.0,1.0,10.5,6
10.0,41.0,0.9994,10.5,6
15.0,27.0,0.9974,9.1,5
11.0,25.0,0.9966,10.1,6
9.0,28.0,0.9981,10.8,6
12.0,30.0,0.9996,10.8,7
6.0,16.0,0.997,11.3,6
26.0,49.0,0.9981,9.6,4
26.0,86.0,0.9987,9.5,6
23.0,78.0,0.9987,9.5,5
15.0,77.0,0.9966,9.3,5
6.0,19.0,0.9986,11.7,7
24.0,122.0,0.9982,9.5,5
31.0,134.0,1.0014,9.3,5
6.0,20.0,0.997,11.7,6
34.0,124.0,0.9956,10.5,5
7.0,20.0,0.9996,10.4,6
34.0,52.0,0.9976,9.9,5
35.0,67.0,0.9972,11.8,7
32.0,48.0,0.9952,12.3,7
15.0,60.0,0.9955,10.9,5
6.0,24.0,0.9978,11.0,7
15.0,60.0,0.9955,10.9,5
32.0,48.0,0.9952,12.3,7
19.0,48.0,0.9949,11.4,6
6.0,32.0,0.9988,10.6,6
9.0,30.0,0.9978,9.3,5
13.0,35.0,0.9997,10.4,6
6.0,24.0,0.9978,11.0,7
21.0,66.0,0.9974,9.2,5
12.0,24.0,0.9958,12.8,6
6.0,18.0,1.0004,9.5,5
22.0,54.0,0.9996,9.9,6
6.0,18.0,1.0004,9.5,5
38.0,62.0,0.9958,10.2,6
6.0,22.0,0.9986,11.2,6
22.0,54.0,0.9996,9.9,6
7.0,50.0,0.9951,9.3,5
6.0,29.0,0.9987,9.8,8
7.0,27.0,0.9988,11.3,6
6.0,43.0,1.0032,11.2,7
11.0,19.0,0.9963,11.6,7
5.0,27.0,0.9934,12.5,7
6.0,31.0,0.9986,10.1,6
31.0,72.0,0.9996,10.5,5
6.0,16.0,0.9968,11.2,5
7.0,27.0,0.9967,10.2,6
17.0,35.0,0.9994,10.8,6
17.0,35.0,0.9994,10.8,6
9.0,26.0,0.9979,9.1,6
18.0,35.0,0.9968,10.0,6
5.0,22.0,0.9998,11.2,7
21.0,67.0,0.9952,11.1,5
6.0,19.0,0.9988,13.4,8
5.0,22.0,0.9986,10.3,5
29.0,65.0,0.9988,9.6,5
5.0,22.0,0.9998,11.2,7
10.0,47.0,1.0008,9.0,3
14.0,23.0,0.9976,11.3,6
6.0,19.0,0.9982,9.3,5
10.0,25.0,0.997,11.8,5
25.0,129.0,0.9972,9.0,5
5.0,15.0,0.9987,9.2,6
10.0,26.0,1.0006,9.7,5
21.0,51.0,0.9982,11.5,6
7.0,18.0,0.9947,14.0,6
6.0,21.0,1.0,9.2,6
36.0,48.0,0.9952,9.8,5
15.0,47.0,0.9996,10.6,5
25.0,52.0,0.997,11.4,6
25.0,68.0,0.9995,10.4,6
5.0,14.0,0.9971,10.6,5
10.0,24.0,0.9982,9.4,6
5.0,28.0,0.9988,10.2,5
6.0,16.0,0.998,9.7,5
6.0,20.0,0.9977,11.0,6
5.0,28.0,0.9988,10.2,5
6.0,31.0,0.9984,10.1,6
6.0,23.0,1.0026,9.2,5
6.0,17.0,0.9964,11.7,8
6.0,18.0,0.9986,9.4,5
7.0,18.0,0.9986,9.4,5
6.0,24.0,0.997,13.4,6
6.0,17.0,0.9976,10.0,5
6.0,17.0,0.9976,10.0,5
5.0,14.0,0.9982,10.0,6
35.0,67.0,1.0002,10.8,7
10.0,26.0,0.9984,10.2,6
24.0,56.0,0.9984,10.6,6
12.0,25.0,0.9952,13.3,7
13.0,27.0,0.995,13.4,7
23.0,81.0,1.0002,11.6,6
28.0,91.0,0.9952,12.1,6
5.0,16.0,0.9972,11.0,8
14.0,38.0,0.9984,9.0,6
43.0,113.0,0.9966,11.1,5
5.0,16.0,0.9972,11.0,8
23.0,81.0,1.0002,11.6,6
14.0,38.0,0.9984,9.0,6
38.0,76.0,0.999,12.0,7
38.0,76.0,0.999,12.0,7
6.0,24.0,0.9976,10.9,7
6.0,22.0,0.9976,10.8,7
10.0,26.0,0.9968,12.5,7
6.0,21.0,0.9976,10.8,7
6.0,13.0,1.0,9.5,6
26.0,62.0,0.9994,10.2,6
23.0,43.0,0.9986,11.4,7
19.0,43.0,0.9978,9.5,5
26.0,62.0,0.9994,10.2,6
15.0,49.0,0.998,9.7,6
6.0,15.0,0.9973,11.8,7
6.0,15.0,0.9973,11.8,7
34.0,151.0,1.001,9.3,5
5.0,14.0,1.001,11.9,6
5.0,16.0,0.9994,8.4,3
11.0,32.0,0.9972,11.7,6
39.0,106.0,0.9966,11.0,5
15.0,33.0,0.9982,10.0,6
16.0,43.0,0.998,9.1,5
47.0,133.0,0.9979,9.8,5
38.0,142.0,0.9978,9.4,5
23.0,116.0,0.9976,9.5,5
29.0,53.0,0.9998,9.9,5
39.0,106.0,0.9966,11.0,5
33.0,85.0,0.9962,11.4,6
32.0,55.0,0.9988,8.7,6
6.0,33.0,0.9974,9.4,5
1.0,28.0,0.999,10.3,6
12.0,42.0,1.0004,10.3,5
12.0,42.0,1.0004,10.3,5
15.0,33.0,0.9956,12.8,6
13.0,32.0,1.0,10.0,6
1.0,28.0,0.999,10.3,6
6.0,33.0,0.9974,9.4,5
5.0,13.0,0.9972,10.7,6
5.0,35.0,1.0014,12.0,7
5.0,17.0,0.9996,11.2,5
20.0,47.0,0.9988,9.6,5
5.0,17.0,0.9988,11.0,6
5.0,20.0,0.9966,9.9,5
16.0,53.0,0.9993,11.0,6
6.0,15.0,1.0008,8.4,6
38.0,106.0,0.9982,9.1,5
10.0,28.0,0.9983,9.5,6
6.0,21.0,0.9987,10.7,6
27.0,69.0,0.9994,10.4,6
6.0,25.0,0.9975,9.4,6
9.0,25.0,0.9958,9.5,6
14.0,45.0,0.998,10.0,6
14.0,44.0,0.998,10.0,6
32.0,96.0,0.9934,11.5,5
10.0,23.0,1.00315,11.1,5
10.0,23.0,1.00315,11.1,5
10.0,17.0,1.0002,11.7,6
10.0,23.0,1.00315,11.1,5
10.0,17.0,1.0002,11.7,6
6.0,47.0,1.0021,12.7,6
5.0,19.0,0.9994,11.4,5
26.0,121.0,0.9978,9.2,5
41.0,110.0,0.9982,9.2,5
25.0,60.0,0.9971,10.1,6
6.0,47.0,1.0021,12.7,6
5.0,19.0,0.9994,11.4,5
5.0,15.0,0.9991,9.0,6
5.0,15.0,0.9991,9.0,6
5.0,20.0,0.999,10.7,6
19.0,42.0,0.9946,11.7,6
10.0,37.0,1.0003,11.0,6
19.0,42.0,0.9946,11.7,6
10.0,28.0,0.9978,10.4,5
14.0,47.0,0.9991,9.6,4
20.0,78.0,0.9992,10.0,6
28.0,46.0,0.9993,10.2,6
6.0,14.0,0.9978,10.0,4
18.0,111.0,0.9982,9.5,5
17.0,110.0,0.9982,9.8,5
18.0,40.0,0.9976,9.8,6
5.0,14.0,1.0002,9.6,5
5.0,14.0,1.0002,9.6,5
5.0,15.0,1.0,9.2,5
10.0,21.0,0.9976,9.9,7
54.0,80.0,1.0002,10.7,7
8.0,38.0,0.998,9.6,6
16.0,47.0,0.9986,10.6,7
18.0,102.0,0.9967,9.3,5
19.0,50.0,0.9917,14.0,8
5.0,13.0,0.9976,10.5,7
21.0,75.0,0.9987,9.7,5
23.0,149.0,0.9922,11.5,6
21.0,75.0,0.9987,9.7,5
9.0,43.0,1.0004,9.0,5
20.0,38.0,0.9978,9.5,5
30.0,109.0,0.9998,9.3,5
6.0,24.0,0.9994,9.3,6
5.0,18.0,0.998,10.0,6
5.0,30.0,0.9967,9.8,6
11.0,22.0,1.0,9.3,6
7.0,23.0,0.9962,10.0,4
12.0,35.0,1.0006,9.0,6
6.0,14.0,0.9975,9.3,5
12.0,35.0,1.0006,9.0,6
14.0,63.0,0.9984,9.1,6
6.0,24.0,0.9984,9.2,6
10.0,20.0,0.9973,12.2,7
26.0,52.0,0.9982,10.5,6
11.0,65.0,1.0026,10.4,6
15.0,39.0,0.9956,12.7,6
25.0,57.0,0.9983,9.2,5
5.0,16.0,1.0006,9.4,5
18.0,29.0,0.9965,10.0,6
10.0,29.0,0.9962,9.8,5
10.0,103.0,0.9969,10.2,6
28.0,71.0,0.9997,9.7,5
28.0,71.0,0.9997,9.7,5
14.0,28.0,0.9982,9.8,6
4.0,17.0,1.0006,10.2,5
6.0,16.0,0.9988,9.3,5
16.0,112.0,0.9976,9.4,5
14.0,104.0,0.9976,9.4,5
9.0,32.0,0.9974,9.5,5
21.0,45.0,0.9974,12.1,6
21.0,58.0,0.9997,10.2,5
21.0,58.0,0.9997,10.2,5
5.0,15.0,0.9988,9.1,5
5.0,15.0,0.9988,9.1,5
7.0,31.0,0.9976,9.3,6
20.0,84.0,0.9964,9.3,5
7.0,31.0,0.9976,9.3,6
5.0,19.0,0.9988,9.5,5
21.0,43.0,0.9964,10.5,6
11.0,86.0,1.001,11.3,4
46.0,102.0,0.9964,9.5,5
24.0,33.0,0.9954,9.7,5
30.0,147.0,0.9979,9.4,5
31.0,145.0,0.9978,9.4,5
7.0,23.0,0.9964,10.2,7
25.0,57.0,0.997,10.3,6
16.0,40.0,0.9991,9.4,5
21.0,68.0,0.9992,9.5,5
16.0,40.0,0.9991,9.4,5
21.0,68.0,0.9992,9.5,5
16.0,40.0,0.9991,9.4,5
5.0,11.0,0.9984,10.1,7
6.0,20.0,0.9972,10.1,5
5.0,14.0,0.9967,11.0,4
10.0,28.0,0.9964,11.2,7
24.0,148.0,0.9948,11.3,6
8.0,32.0,0.9986,9.6,5
35.0,155.0,1.001,11.2,5
22.0,71.0,0.9976,14.9,5
9.0,30.0,0.9976,12.0,6
7.0,29.0,0.9979,9.5,5
20.0,53.0,1.0004,9.4,5
8.0,32.0,0.9986,9.6,5
23.0,42.0,0.998,10.5,7
5.0,20.0,0.9973,9.6,6
5.0,13.0,0.997,11.0,4
5.0,20.0,0.9973,9.6,6
15.0,42.0,0.9978,9.0,5
9.0,27.0,0.9972,9.6,6
5.0,13.0,0.9974,10.2,6
15.0,54.0,1.0,10.2,5
25.0,48.0,0.9981,9.7,5
6.0,16.0,0.998,9.5,6
6.0,15.0,0.9988,9.2,6
15.0,31.0,0.9966,11.0,5
6.0,15.0,0.9988,9.2,6
30.0,45.0,0.9959,10.0,5
5.0,13.0,0.9968,9.5,5
32.0,151.0,0.998,9.5,5
5.0,13.0,0.9968,9.5,5
7.0,17.0,0.9984,9.3,6
12.0,31.0,0.9984,10.2,5
7.0,17.0,0.9984,9.3,6
12.0,31.0,0.9979,9.9,5
45.0,87.0,0.9983,10.0,5
20.0,49.0,0.9972,9.6,5
15.0,40.0,1.0004,9.0,5
16.0,29.0,0.9962,10.2,6
32.0,58.0,0.998,9.8,5
5.0,15.0,0.997,11.3,5
35.0,152.0,0.998,9.4,5
5.0,15.0,0.997,11.3,5
13.0,40.0,0.997,9.1,5
13.0,38.0,0.9998,9.7,5
4.0,9.0,0.9962,9.4,5
5.0,17.0,0.9976,9.4,5
5.0,14.0,0.9966,10.7,3
12.0,93.0,0.9998,9.8,5
16.0,62.0,0.9979,9.0,5
21.0,122.0,0.9984,9.4,5
24.0,125.0,0.9984,9.4,5
18.0,44.0,0.9921,12.8,6
8.0,25.0,0.9972,9.5,6
8.0,25.0,0.9972,9.5,6
18.0,72.0,1.0001,9.7,5
5.0,19.0,0.9986,10.8,6
26.0,88.0,0.9984,10.1,6
8.0,25.0,0.9972,9.5,6
9.0,23.0,0.997,9.4,6
22.0,84.0,0.9972,9.6,4
4.0,14.0,0.998,9.7,4
11.0,54.0,0.999,9.9,5
10.0,19.0,0.9956,10.0,5
16.0,37.0,0.9966,10.5,5
11.0,35.0,0.996,11.6,6
13.0,33.0,0.9983,10.0,6
21.0,84.0,0.9985,10.1,5
16.0,112.0,0.9998,9.5,5
13.0,33.0,0.9992,9.4,5
10.0,48.0,0.9976,9.4,5
21.0,77.0,0.998,9.8,5
13.0,34.0,0.9967,9.2,6
10.0,48.0,0.9976,9.4,5
12.0,49.0,0.9968,10.0,5
10.0,22.0,0.9976,9.6,5
17.0,45.0,0.9976,9.5,5
10.0,22.0,0.9976,9.6,5
35.0,106.0,0.9982,9.2,5
15.0,48.0,0.9968,10.0,5
36.0,127.0,0.9965,9.5,5
5.0,12.0,0.9958,11.2,4
5.0,13.0,0.9976,10.4,5
18.0,49.0,0.9994,11.1,6
4.0,11.0,0.997,9.5,5
4.0,11.0,0.997,9.5,5
27.0,58.0,0.995,12.7,6
12.0,37.0,0.9982,9.6,5
4.0,14.0,0.9994,11.5,5
10.0,19.0,0.9966,9.6,5
16.0,72.0,0.998,9.5,5
9.0,39.0,0.9987,9.3,5
11.0,22.0,0.9963,9.5,5
11.0,22.0,0.9963,9.5,5
